Gene_ID	Gene_Symbol	Species	Gene Name
259240	WFDC9	Homo sapiens	WAP four-disulfide core domain 9(WFDC9)
2328	FMO3	Homo sapiens	flavin containing monooxygenase 3(FMO3)
2326	FMO1	Homo sapiens	flavin containing monooxygenase 1(FMO1)
2324	FLT4	Homo sapiens	fms related tyrosine kinase 4(FLT4)
2323	FLT3LG	Homo sapiens	fms related tyrosine kinase 3 ligand(FLT3LG)
2322	FLT3	Homo sapiens	fms related tyrosine kinase 3(FLT3)
2321	FLT1	Homo sapiens	fms related tyrosine kinase 1(FLT1)
3652	IPP	Homo sapiens	intracisternal A particle-promoted polypeptide(IPP)
4983	OPHN1	Homo sapiens	oligophrenin 1(OPHN1)
3654	IRAK1	Homo sapiens	interleukin 1 receptor associated kinase 1(IRAK1)
4985	OPRD1	Homo sapiens	opioid receptor delta 1(OPRD1)
3655	ITGA6	Homo sapiens	integrin subunit alpha 6(ITGA6)
4986	OPRK1	Homo sapiens	opioid receptor kappa 1(OPRK1)
3656	IRAK2	Homo sapiens	interleukin 1 receptor associated kinase 2(IRAK2)
4987	OPRL1	Homo sapiens	opioid related nociceptin receptor 1(OPRL1)
4988	OPRM1	Homo sapiens	opioid receptor mu 1(OPRM1)
3658	IREB2	Homo sapiens	iron responsive element binding protein 2(IREB2)
2329	FMO4	Homo sapiens	flavin containing monooxygenase 4(FMO4)
3659	IRF1	Homo sapiens	interferon regulatory factor 1(IRF1)
3670	ISL1	Homo sapiens	ISL LIM homeobox 1(ISL1)
3671	ISLR	Homo sapiens	immunoglobulin superfamily containing leucine rich repeat(ISLR)
3672	ITGA1	Homo sapiens	integrin subunit alpha 1(ITGA1)
3673	ITGA2	Homo sapiens	integrin subunit alpha 2(ITGA2)
2342	FNTB	Homo sapiens	"farnesyltransferase, CAAX box, beta(FNTB)"
1010	CDH12	Homo sapiens	cadherin 12(CDH12)
1008	CDH10	Homo sapiens	cadherin 10(CDH10)
2339	FNTA	Homo sapiens	"farnesyltransferase, CAAX box, alpha(FNTA)"
1007	CDH9	Homo sapiens	cadherin 9(CDH9)
1006	CDH8	Homo sapiens	cadherin 8(CDH8)
1005	CDH7	Homo sapiens	cadherin 7(CDH7)
1004	CDH6	Homo sapiens	cadherin 6(CDH6)
2335	FN1	Homo sapiens	fibronectin 1(FN1)
1003	CDH5	Homo sapiens	cadherin 5(CDH5)
2334	AFF2	Homo sapiens	AF4/FMR2 family member 2(AFF2)
1002	CDH4	Homo sapiens	cadherin 4(CDH4)
259249	MRGPRX1	Homo sapiens	MAS related GPR family member X1(MRGPRX1)
1001	CDH3	Homo sapiens	cadherin 3(CDH3)
2332	FMR1	Homo sapiens	fragile X mental retardation 1(FMR1)
3663	IRF5	Homo sapiens	interferon regulatory factor 5(IRF5)
4994	OR3A1	Homo sapiens	olfactory receptor family 3 subfamily A member 1(OR3A1)
3664	IRF6	Homo sapiens	interferon regulatory factor 6(IRF6)
3665	IRF7	Homo sapiens	interferon regulatory factor 7(IRF7)
3667	IRS1	Homo sapiens	insulin receptor substrate 1(IRS1)
4998	ORC1	Homo sapiens	origin recognition complex subunit 1(ORC1)
4999	ORC2	Homo sapiens	origin recognition complex subunit 2(ORC2)
285590	SH3PXD2B	Homo sapiens	SH3 and PX domains 2B(SH3PXD2B)
1009	CDH11	Homo sapiens	cadherin 11(CDH11)
116729	PPP1R27	Homo sapiens	protein phosphatase 1 regulatory subunit 27(PPP1R27)
3680	ITGA9	Homo sapiens	integrin subunit alpha 9(ITGA9)
3681	ITGAD	Homo sapiens	integrin subunit alpha D(ITGAD)
3682	ITGAE	Homo sapiens	integrin subunit alpha E(ITGAE)
3683	ITGAL	Homo sapiens	integrin subunit alpha L(ITGAL)
3684	ITGAM	Homo sapiens	integrin subunit alpha M(ITGAM)
128710	slx4ip	Homo sapiens	SLX4 interacting protein(SLX4IP)
1022	CDK7	Homo sapiens	cyclin dependent kinase 7(CDK7)
2353	FOS	Homo sapiens	"Fos proto-oncogene, AP-1 transcription factor subunit(FOS)"
1021	CDK6	Homo sapiens	cyclin dependent kinase 6(CDK6)
2352	FOLR3	Homo sapiens	folate receptor 3(FOLR3)
1020	CDK5	Homo sapiens	cyclin dependent kinase 5(CDK5)
1019	CDK4	Homo sapiens	cyclin dependent kinase 4(CDK4)
1018	CDK3	Homo sapiens	cyclin dependent kinase 3(CDK3)
1017	CDK2	Homo sapiens	cyclin dependent kinase 2(CDK2)
2348	folr1	Homo sapiens	folate receptor 1(FOLR1)
1016	CDH18	Homo sapiens	cadherin 18(CDH18)
1015	CDH17	Homo sapiens	cadherin 17(CDH17)
2346	folh1	Homo sapiens	folate hydrolase 1(FOLH1)
1014	CDH16	Homo sapiens	cadherin 16(CDH16)
1013	CDH15	Homo sapiens	cadherin 15(CDH15)
1012	CDH13	Homo sapiens	cadherin 13(CDH13)
3674	ITGA2B	Homo sapiens	integrin subunit alpha 2b(ITGA2B)
3675	ITGA3	Homo sapiens	integrin subunit alpha 3(ITGA3)
284257	BOD1L2	Homo sapiens	biorientation of chromosomes in cell division 1 like 2(BOD1L2)
3676	ITGA4	Homo sapiens	integrin subunit alpha 4(ITGA4)
100128731	OST4	Homo sapiens	"oligosaccharyltransferase complex subunit 4, non-catalytic(OST4)"
3678	ITGA5	Homo sapiens	integrin subunit alpha 5(ITGA5)
3679	itga7	Homo sapiens	integrin subunit alpha 7(ITGA7)
284252	KCTD1	Homo sapiens	potassium channel tetramerization domain containing 1(KCTD1)
3690	ITGB3	Homo sapiens	integrin subunit beta 3(ITGB3)
3691	ITGB4	Homo sapiens	integrin subunit beta 4(ITGB4)
3692	EIF6	Homo sapiens	eukaryotic translation initiation factor 6(EIF6)
3693	ITGB5	Homo sapiens	integrin subunit beta 5(ITGB5)
3694	ITGB6	Homo sapiens	integrin subunit beta 6(ITGB6)
3695	ITGB7	Homo sapiens	integrin subunit beta 7(ITGB7)
1033	CDKN3	Homo sapiens	cyclin dependent kinase inhibitor 3(CDKN3)
1032	CDKN2D	Homo sapiens	cyclin dependent kinase inhibitor 2D(CDKN2D)
1031	CDKN2C	Homo sapiens	cyclin dependent kinase inhibitor 2C(CDKN2C)
1030	CDKN2B	Homo sapiens	cyclin dependent kinase inhibitor 2B(CDKN2B)
285527	FRYL	Homo sapiens	FRY like transcription coactivator(FRYL)
1029	CDKN2A	Homo sapiens	cyclin dependent kinase inhibitor 2A(CDKN2A)
440295	GOLGA6L9	Homo sapiens	golgin A6 family-like 9(GOLGA6L9)
1028	CDKN1C	Homo sapiens	cyclin dependent kinase inhibitor 1C(CDKN1C)
1027	CDKN1B	Homo sapiens	cyclin dependent kinase inhibitor 1B(CDKN1B)
2358	FPR2	Homo sapiens	formyl peptide receptor 2(FPR2)
1026	CDKN1A	Homo sapiens	cyclin dependent kinase inhibitor 1A(CDKN1A)
2357	FPR1	Homo sapiens	formyl peptide receptor 1(FPR1)
1025	CDK9	Homo sapiens	cyclin dependent kinase 9(CDK9)
1024	CDK8	Homo sapiens	cyclin dependent kinase 8(CDK8)
2355	FOSL2	Homo sapiens	"FOS like 2, AP-1 transcription factor subunit(FOSL2)"
2354	FOSB	Homo sapiens	"FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)"
3685	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
3687	ITGAX	Homo sapiens	integrin subunit alpha X(ITGAX)
3688	ITGB1	Homo sapiens	integrin subunit beta 1(ITGB1)
3689	ITGB2	Homo sapiens	integrin subunit beta 2(ITGB2)
259282	BOD1L1	Homo sapiens	biorientation of chromosomes in cell division 1 like 1(BOD1L1)
728492	SERF1B	Homo sapiens	small EDRK-rich factor 1B(SERF1B)
285533	RNF175	Homo sapiens	ring finger protein 175(RNF175)
1044	CDX1	Homo sapiens	caudal type homeobox 1(CDX1)
1043	CD52	Homo sapiens	CD52 molecule(CD52)
1041	CDSN	Homo sapiens	corneodesmosin(CDSN)
1040	cds1	Homo sapiens	CDP-diacylglycerol synthase 1(CDS1)
259287	TAS2R41	Homo sapiens	taste 2 receptor member 41(TAS2R41)
1039	CDR2	Homo sapiens	cerebellar degeneration related protein 2(CDR2)
1038	CDR1	Homo sapiens	cerebellar degeneration related protein 1(CDR1)
1036	CDO1	Homo sapiens	cysteine dioxygenase type 1(CDO1)
3696	ITGB8	Homo sapiens	integrin subunit beta 8(ITGB8)
3697	ITIH1	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain 1(ITIH1)
3698	ITIH2	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain 2(ITIH2)
3699	ITIH3	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain 3(ITIH3)
259294	TAS2R19	Homo sapiens	taste 2 receptor member 19(TAS2R19)
1054	CEBPG	Homo sapiens	CCAAT/enhancer binding protein gamma(CEBPG)
1053	CEBPE	Homo sapiens	CCAAT/enhancer binding protein epsilon(CEBPE)
1052	CEBPD	Homo sapiens	CCAAT/enhancer binding protein delta(CEBPD)
1051	CEBPB	Homo sapiens	CCAAT/enhancer binding protein beta(CEBPB)
1050	CEBPA	Homo sapiens	CCAAT/enhancer binding protein alpha(CEBPA)
728489	DNLZ	Homo sapiens	DNL-type zinc finger(DNLZ)
1048	CEACAM5	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 5(CEACAM5)
1047	CLGN	Homo sapiens	calmegin(CLGN)
1046	CDX4	Homo sapiens	caudal type homeobox 4(CDX4)
1045	CDX2	Homo sapiens	caudal type homeobox 2(CDX2)
59082	CARD18	Homo sapiens	caspase recruitment domain family member 18(CARD18)
1066	CES1	Homo sapiens	carboxylesterase 1(CES1)
2395	FXN	Homo sapiens	frataxin(FXN)
1063	CENPF	Homo sapiens	centromere protein F(CENPF)
1062	CENPE	Homo sapiens	centromere protein E(CENPE)
1060	CENPC	Homo sapiens	centromere protein C(CENPC)
11108	prdm4	Homo sapiens	PR/SET domain 4(PRDM4)
11107	PRDM5	Homo sapiens	PR/SET domain 5(PRDM5)
1059	CENPB	Homo sapiens	centromere protein B(CENPB)
1058	CENPA	Homo sapiens	centromere protein A(CENPA)
114112	TXNRD3	Homo sapiens	thioredoxin reductase 3(TXNRD3)
85379	KIAA1671	Homo sapiens	KIAA1671(KIAA1671)
11100	HNRNPUL1	Homo sapiens	heterogeneous nuclear ribonucleoprotein U like 1(HNRNPUL1)
85377	MICALL1	Homo sapiens	MICAL like 1(MICALL1)
85378	TUBGCP6	Homo sapiens	tubulin gamma complex associated protein 6(TUBGCP6)
11102	RPP14	Homo sapiens	ribonuclease P/MRP subunit p14(RPP14)
11101	ATE1	Homo sapiens	arginyltransferase 1(ATE1)
85376	RIMBP3	Homo sapiens	RIMS binding protein 3(RIMBP3)
11104	KATNA1	Homo sapiens	katanin catalytic subunit A1(KATNA1)
11103	KRR1	Homo sapiens	"KRR1, small subunit processome component homolog(KRR1)"
284297	SSC5D	Homo sapiens	scavenger receptor cysteine rich family member with 5 domains(SSC5D)
11105	PRDM7	Homo sapiens	PR/SET domain 7(PRDM7)
25759	SHC2	Homo sapiens	SHC adaptor protein 2(SHC2)
1075	CTSC	Homo sapiens	cathepsin C(CTSC)
115426	UHRF2	Homo sapiens	ubiquitin like with PHD and ring finger domains 2(UHRF2)
1073	CFL2	Homo sapiens	cofilin 2(CFL2)
1072	CFL1	Homo sapiens	cofilin 1(CFL1)
1071	CETP	Homo sapiens	cholesteryl ester transfer protein(CETP)
25758	KIAA1549L	Homo sapiens	KIAA1549 like(KIAA1549L)
1070	CETN3	Homo sapiens	centrin 3(CETN3)
11119	BTN3A1	Homo sapiens	butyrophilin subfamily 3 member A1(BTN3A1)
11118	BTN3A2	Homo sapiens	butyrophilin subfamily 3 member A2(BTN3A2)
1069	cetn2	Homo sapiens	centrin 2(CETN2)
1068	CETN1	Homo sapiens	centrin 1(CETN1)
85369	STRIP1	Homo sapiens	striatin interacting protein 1(STRIP1)
84034	EMILIN2	Homo sapiens	elastin microfibril interfacer 2(EMILIN2)
85366	MYLK2	Homo sapiens	myosin light chain kinase 2(MYLK2)
84033	OBSCN	Homo sapiens	"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF(OBSCN)"
11113	CIT	Homo sapiens	citron rho-interacting serine/threonine kinase(CIT)
85364	ZCCHC3	Homo sapiens	zinc finger CCHC-type containing 3(ZCCHC3)
139422	MAGEB10	Homo sapiens	MAGE family member B10(MAGEB10)
11112	HIBADH	Homo sapiens	3-hydroxyisobutyrate dehydrogenase(HIBADH)
85365	ALG2	Homo sapiens	"ALG2, alpha-1,3/1,6-mannosyltransferase(ALG2)"
85363	TRIM5	Homo sapiens	tripartite motif containing 5(TRIM5)
11117	EMILIN1	Homo sapiens	elastin microfibril interfacer 1(EMILIN1)
85360	SYDE1	Homo sapiens	synapse defective Rho GTPase homolog 1(SYDE1)
11116	FGFR1OP	Homo sapiens	FGFR1 oncogene partner(FGFR1OP)
1080	CFTR	Homo sapiens	cystic fibrosis transmembrane conductance regulator(CFTR)
84061	MAGT1	Homo sapiens	magnesium transporter 1(MAGT1)
84060	RBM48	Homo sapiens	RNA binding motif protein 48(RBM48)
1088	ceacam8	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 8(CEACAM8)
153733	CCDC112	Homo sapiens	coiled-coil domain containing 112(CCDC112)
1087	CEACAM7	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 7(CEACAM7)
1084	CEACAM3	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 3(CEACAM3)
115416	MALSU1	Homo sapiens	mitochondrial assembly of ribosomal large subunit 1(MALSU1)
1082	CGB3	Homo sapiens	chorionic gonadotropin beta subunit 3(CGB3)
1081	CGA	Homo sapiens	"glycoprotein hormones, alpha polypeptide(CGA)"
440275	EIF2AK4	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4(EIF2AK4)
84067	fam160a2	Homo sapiens	family with sequence similarity 160 member A2(FAM160A2)
84066	TEX35	Homo sapiens	testis expressed 35(TEX35)
84069	PLEKHN1	Homo sapiens	pleckstrin homology domain containing N1(PLEKHN1)
85397	RGS8	Homo sapiens	regulator of G-protein signaling 8(RGS8)
84063	KIRREL2	Homo sapiens	kin of IRRE like 2 (Drosophila)(KIRREL2)
85395	FAM207A	Homo sapiens	family with sequence similarity 207 member A(FAM207A)
84062	DTNBP1	Homo sapiens	dystrobrevin binding protein 1(DTNBP1)
84065	TMEM222	Homo sapiens	transmembrane protein 222(TMEM222)
284274	SMIM21	Homo sapiens	small integral membrane protein 21(SMIM21)
84064	HDHD2	Homo sapiens	haloacid dehalogenase like hydrolase domain containing 2(HDHD2)
284273	ZADH2	Homo sapiens	zinc binding alcohol dehydrogenase domain containing 2(ZADH2)
440270	GOLGA8B	Homo sapiens	golgin A8 family member B(GOLGA8B)
152405	C3orf30	Homo sapiens	chromosome 3 open reading frame 30(C3orf30)
84059	ADGRV1	Homo sapiens	adhesion G protein-coupled receptor V1(ADGRV1)
152404	igsf11	Homo sapiens	immunoglobulin superfamily member 11(IGSF11)
84056	KATNAL1	Homo sapiens	katanin catalytic subunit A1 like 1(KATNAL1)
84058	WDR54	Homo sapiens	WD repeat domain 54(WDR54)
84057	MND1	Homo sapiens	meiotic nuclear divisions 1(MND1)
84081	NSRP1	Homo sapiens	nuclear speckle splicing regulatory protein 1(NSRP1)
84080	ENKD1	Homo sapiens	enkurin domain containing 1(ENKD1)
84083	ZRANB3	Homo sapiens	zinc finger RANBP2-type containing 3(ZRANB3)
285596	FAM153A	Homo sapiens	family with sequence similarity 153 member A(FAM153A)
126133	ALDH16A1	Homo sapiens	aldehyde dehydrogenase 16 family member A1(ALDH16A1)
84085	FBXO30	Homo sapiens	F-box protein 30(FBXO30)
84084	rab6c	Homo sapiens	"RAB6C, member RAS oncogene family(RAB6C)"
84072	HORMAD1	Homo sapiens	HORMA domain containing 1(HORMAD1)
126123	IZUMO2	Homo sapiens	IZUMO family member 2(IZUMO2)
126119	josd2	Homo sapiens	Josephin domain containing 2(JOSD2)
442867	BPY2B	Homo sapiens	"basic charge, Y-linked, 2B(BPY2B)"
442868	BPY2C	Homo sapiens	"basic charge, Y-linked, 2C(BPY2C)"
84078	KBTBD7	Homo sapiens	kelch repeat and BTB domain containing 7(KBTBD7)
84077	C3orf20	Homo sapiens	chromosome 3 open reading frame 20(C3orf20)
84079	ANKRD27	Homo sapiens	ankyrin repeat domain 27(ANKRD27)
84074	QRICH2	Homo sapiens	glutamine rich 2(QRICH2)
84073	mycbpap	Homo sapiens	MYCBP associated protein(MYCBPAP)
84076	TKTL2	Homo sapiens	transketolase like 2(TKTL2)
201931	TMEM192	Homo sapiens	transmembrane protein 192(TMEM192)
114131	UCN3	Homo sapiens	urocortin 3(UCN3)
114132	SIGLEC11	Homo sapiens	sialic acid binding Ig like lectin 11(SIGLEC11)
114134	SLC2A13	Homo sapiens	solute carrier family 2 member 13(SLC2A13)
127435	PODN	Homo sapiens	podocan(PODN)
343099	CCDC18	Homo sapiens	coiled-coil domain containing 18(CCDC18)
127428	TCEANC2	Homo sapiens	transcription elongation factor A N-terminal and central domain containing 2(TCEANC2)
11061	LECT1	Homo sapiens	leukocyte cell derived chemotaxin 1(LECT1)
11060	WWP2	Homo sapiens	WW domain containing E3 ubiquitin protein ligase 2(WWP2)
11063	SOX30	Homo sapiens	SRY-box 30(SOX30)
619279	ZNF704	Homo sapiens	zinc finger protein 704(ZNF704)
11062	DUS4L	Homo sapiens	dihydrouridine synthase 4 like(DUS4L)
11065	UBE2C	Homo sapiens	ubiquitin conjugating enzyme E2 C(UBE2C)
11064	CNTRL	Homo sapiens	centriolin(CNTRL)
23046	KIF21B	Homo sapiens	kinesin family member 21B(KIF21B)
23047	PDS5B	Homo sapiens	PDS5 cohesin associated factor B(PDS5B)
23048	FNBP1	Homo sapiens	formin binding protein 1(FNBP1)
23049	SMG1	Homo sapiens	"SMG1, nonsense mediated mRNA decay associated PI3K related kinase(SMG1)"
23040	MYT1L	Homo sapiens	myelin transcription factor 1 like(MYT1L)
23041	MON2	Homo sapiens	"MON2 homolog, regulator of endosome-to-Golgi trafficking(MON2)"
23042	PDXDC1	Homo sapiens	pyridoxal dependent decarboxylase domain containing 1(PDXDC1)
23043	TNIK	Homo sapiens	TRAF2 and NCK interacting kinase(TNIK)
11067	C10orf10	Homo sapiens	chromosome 10 open reading frame 10(C10orf10)
11066	SNRNP35	Homo sapiens	small nuclear ribonucleoprotein U11/U12 subunit 35(SNRNP35)
50674	NEUROG3	Homo sapiens	neurogenin 3(NEUROG3)
138046	RALYL	Homo sapiens	RALY RNA binding protein-like(RALYL)
11069	RAPGEF4	Homo sapiens	Rap guanine nucleotide exchange factor 4(RAPGEF4)
11068	CYB561D2	Homo sapiens	cytochrome b561 family member D2(CYB561D2)
152330	CNTN4	Homo sapiens	contactin 4(CNTN4)
11070	TMEM115	Homo sapiens	transmembrane protein 115(TMEM115)
404550	C16orf74	Homo sapiens	chromosome 16 open reading frame 74(C16orf74)
11072	DUSP14	Homo sapiens	dual specificity phosphatase 14(DUSP14)
11074	TRIM31	Homo sapiens	tripartite motif containing 31(TRIM31)
166979	CDC20B	Homo sapiens	cell division cycle 20B(CDC20B)
11073	TOPBP1	Homo sapiens	topoisomerase (DNA) II binding protein 1(TOPBP1)
11076	TPPP	Homo sapiens	tubulin polymerization promoting protein(TPPP)
11075	STMN2	Homo sapiens	stathmin 2(STMN2)
200634	KRTCAP3	Homo sapiens	keratinocyte associated protein 3(KRTCAP3)
201965	RWDD4	Homo sapiens	RWD domain containing 4(RWDD4)
23057	NMNAT2	Homo sapiens	nicotinamide nucleotide adenylyltransferase 2(NMNAT2)
164312	LRRN4	Homo sapiens	leucine rich repeat neuronal 4(LRRN4)
23059	CLUAP1	Homo sapiens	clusterin associated protein 1(CLUAP1)
23051	ZHX3	Homo sapiens	zinc fingers and homeoboxes 3(ZHX3)
23052	ENDOD1	Homo sapiens	endonuclease domain containing 1(ENDOD1)
86614	HSFY1	Homo sapiens	"heat shock transcription factor, Y-linked 1(HSFY1)"
23053	ZSWIM8	Homo sapiens	zinc finger SWIM-type containing 8(ZSWIM8)
115399	LRRC56	Homo sapiens	leucine rich repeat containing 56(LRRC56)
23054	NCOA6	Homo sapiens	nuclear receptor coactivator 6(NCOA6)
11078	TRIOBP	Homo sapiens	TRIO and F-actin binding protein(TRIOBP)
11077	HSF2BP	Homo sapiens	heat shock transcription factor 2 binding protein(HSF2BP)
11079	RER1	Homo sapiens	retention in endoplasmic reticulum sorting receptor 1(RER1)
151011	10-Sep	Homo sapiens	septin 10(SEPT10)
11041	B4GAT1	Homo sapiens	"beta-1,4-glucuronyltransferase 1(B4GAT1)"
11040	PIM2	Homo sapiens	"Pim-2 proto-oncogene, serine/threonine kinase(PIM2)"
11043	MID2	Homo sapiens	midline 2(MID2)
165679	SPTSSB	Homo sapiens	serine palmitoyltransferase small subunit B(SPTSSB)
441525	SPANXN4	Homo sapiens	SPANX family member N4(SPANXN4)
23023	TMCC1	Homo sapiens	transmembrane and coiled-coil domain family 1(TMCC1)
114049	WBSCR22	Homo sapiens	Williams-Beuren syndrome chromosome region 22(WBSCR22)
23024	PDZRN3	Homo sapiens	PDZ domain containing ring finger 3(PDZRN3)
23025	UNC13A	Homo sapiens	unc-13 homolog A(UNC13A)
23026	MYO16	Homo sapiens	myosin XVI(MYO16)
441521	CT45A5	Homo sapiens	cancer/testis antigen family 45 member A5(CT45A5)
23028	KDM1A	Homo sapiens	lysine demethylase 1A(KDM1A)
23029	RBM34	Homo sapiens	RNA binding motif protein 34(RBM34)
201973	PRIMPOL	Homo sapiens	primase and DNA directed polymerase(PRIMPOL)
85315	PAQR8	Homo sapiens	progestin and adipoQ receptor family member 8(PAQR8)
23020	SNRNP200	Homo sapiens	small nuclear ribonucleoprotein U5 subunit 200(SNRNP200)
85313	PPIL4	Homo sapiens	peptidylprolyl isomerase like 4(PPIL4)
23022	PALLD	Homo sapiens	"palladin, cytoskeletal associated protein(PALLD)"
11045	UPK1A	Homo sapiens	uroplakin 1A(UPK1A)
11044	PAPD7	Homo sapiens	"poly(A) RNA polymerase D7, non-canonical(PAPD7)"
11047	ADRM1	Homo sapiens	adhesion regulating molecule 1(ADRM1)
138065	RNF183	Homo sapiens	ring finger protein 183(RNF183)
441519	CT45A3	Homo sapiens	cancer/testis antigen family 45 member A3(CT45A3)
11052	CPSF6	Homo sapiens	cleavage and polyadenylation specific factor 6(CPSF6)
441518	FAM127C	Homo sapiens	family with sequence similarity 127 member C(FAM127C)
11051	NUDT21	Homo sapiens	nudix hydrolase 21(NUDT21)
11054	OGFR	Homo sapiens	opioid growth factor receptor(OGFR)
23034	SAMD4A	Homo sapiens	sterile alpha motif domain containing 4A(SAMD4A)
23035	PHLPP2	Homo sapiens	PH domain and leucine rich repeat protein phosphatase 2(PHLPP2)
23036	ZNF292	Homo sapiens	zinc finger protein 292(ZNF292)
23037	PDZD2	Homo sapiens	PDZ domain containing 2(PDZD2)
23038	WDTC1	Homo sapiens	WD and tetratricopeptide repeats 1(WDTC1)
23039	XPO7	Homo sapiens	exportin 7(XPO7)
23030	KDM4B	Homo sapiens	lysine demethylase 4B(KDM4B)
23031	MAST3	Homo sapiens	microtubule associated serine/threonine kinase 3(MAST3)
85302	FBF1	Homo sapiens	Fas binding factor 1(FBF1)
23032	USP33	Homo sapiens	ubiquitin specific peptidase 33(USP33)
11056	DDX52	Homo sapiens	DExD-box helicase 52(DDX52)
85300	ATCAY	Homo sapiens	"ATCAY, caytaxin(ATCAY)"
11055	ZPBP	Homo sapiens	zona pellucida binding protein(ZPBP)
85301	COL27A1	Homo sapiens	collagen type XXVII alpha 1 chain(COL27A1)
11059	WWP1	Homo sapiens	WW domain containing E3 ubiquitin protein ligase 1(WWP1)
11021	RAB35	Homo sapiens	"RAB35, member RAS oncogene family(RAB35)"
11020	IFT27	Homo sapiens	intraflagellar transport 27(IFT27)
23001	WDFY3	Homo sapiens	WD repeat and FYVE domain containing 3(WDFY3)
26996	gpr160	Homo sapiens	G protein-coupled receptor 160(GPR160)
23002	DAAM1	Homo sapiens	dishevelled associated activator of morphogenesis 1(DAAM1)
